mgi_id	viability	wol	mp_term_id_homozygote	mp_term_id_heterozygote	mp_term_id_hemizygote	mp_term_name_homozygote	mp_term_name_heterozygote	mp_term_name_hemizygote	allele_symbol_homozygote	allele_symbol_heterozygote	allele_symbol_hemizygote	strain_name_homozygote	strain_name_heterozygote	strain_name_hemizygote	procedure_name_successful	hom_early_adult	hem_early_adult	sucessful_procedures_13	ortholog	hgnc_id	gene_symbol	mean_depmap_gene_effect_score	depmap_essential_05	depmap_essential_1	fusil_all	fusil	max_col_raw	max_col_norm	max_tissue_raw	max_tissue_norm
MGI:101759	viable	NA	MP:0001399|MP:0001406|MP:0005565|MP:0010088|MP:0005419	NA	NA	hyperactivity|abnormal gait|increased blood urea nitrogen level|decreased circulating fructosamine level|decreased circulating serum albumin level	NA	NA	Syt4<em2(IMPC)H>	NA	NA	C57BL/6NTac	NA	NA	Acoustic Startle and Pre-pulse Inhibition (PPI)|Auditory Brain Stem Response|Body Composition (DEXA lean/fat)|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Electrocardiogram (ECG)|Eye Morphology|Fear Conditioning|Fertility of Homozygous Knock-out Mice|Grip Strength|Gross Pathology and Tissue Collection|Hematology|Intraperitoneal glucose tolerance test (IPGTT)|Open Field|Organ Weight|Viability Primary Screen|X-ray	17	0	yes	one2one	HGNC:11512	SYT4	0.0746914127896753	n	n	VP	VP	11	11	Brain_Cerebellar_Hemisphere	Brain_Cerebellar_Hemisphere
MGI:101760	lethal	early lethal	MP:0013292|MP:0011100	MP:0005333|MP:0010506|MP:0010053|MP:0002941	NA	embryonic lethality prior to organogenesis|preweaning lethality, complete penetrance	decreased heart rate|prolonged RR interval|decreased grip strength|increased circulating alanine transaminase level	NA	Sfswap<em1(IMPC)J>	Sfswap<em1(IMPC)J>	NA	C57BL/6NJ	C57BL/6NJ	NA	NA	NA	NA	NA	one2one	HGNC:10790	SFSWAP	-0.76925080682683	y	n	CL	CL	46	46	Nerve_Tibial	Nerve_Tibial
MGI:101766	lethal	late lethal	MP:0011100|MP:0003984|MP:0001785|MP:0000111|MP:0000428|MP:0001711	MP:0000691|MP:0002135|MP:0000266|MP:0000689|MP:0001289|MP:0002060|MP:0000220|MP:0000274|MP:0006203|MP:0005013|MP:0003068|MP:0001711|MP:0000218	NA	preweaning lethality, complete penetrance|embryonic growth retardation|edema|cleft palate|abnormal craniofacial morphology|abnormal placenta morphology	enlarged spleen|abnormal kidney morphology|abnormal heart morphology|abnormal spleen morphology|persistence of hyaloid vascular system|abnormal skin morphology|increased monocyte cell number|enlarged heart|eye hemorrhage|increased lymphocyte cell number|enlarged kidney|abnormal placenta morphology|increased leukocyte cell number	NA	Ryk<em1(IMPC)Mbp>	Ryk<em1(IMPC)Mbp>	NA	C57BL/6NCrl	C57BL/6NCrl	NA	NA	NA	NA	NA	one2one	HGNC:10481	RYK	-0.135959261408688	n	n	DL	DL	47	47	Ovary	Ovary
MGI:101769	lethal	early lethal	MP:0013292|MP:0011100	MP:0003984|MP:0002092|MP:0000702|MP:0002590|MP:0001297|MP:0002339|MP:0010052|MP:0000692|MP:0002188|MP:0001293|MP:0000266	NA	embryonic lethality prior to organogenesis|preweaning lethality, complete penetrance	embryonic growth retardation|abnormal eye morphology|enlarged lymph nodes|increased mean corpuscular volume|microphthalmia|abnormal lymph node morphology|increased grip strength|small spleen|small heart|anophthalmia|abnormal heart morphology	NA	Mcl1<em1(IMPC)Mbp>	Mcl1<em1(IMPC)Mbp>	NA	C57BL/6NCrl	C57BL/6NCrl	NA	NA	NA	NA	NA	one2one	HGNC:6943	MCL1	-0.75665975306318	y	n	CL	CL	42	42	Liver_Portal_Tract	Liver_Portal_Tract
MGI:101770	viable	NA	MP:0004906|MP:0002092|MP:0001102|MP:0001488	NA	NA	enlarged uterus|abnormal eye morphology|small superior vagus ganglion|increased startle reflex	NA	NA	Bfsp1<tm1b(EUCOMM)Wtsi>	NA	NA	C57BL/6NCrl	NA	NA	Acoustic Startle and Pre-pulse Inhibition (PPI)|Auditory Brain Stem Response|Body Composition (DEXA lean/fat)|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Electrocardiogram (ECG)|Eye Morphology|Fertility of Homozygous Knock-out Mice|Grip Strength|Gross Pathology and Tissue Collection|Heart Weight|Hematology|Indirect Calorimetry|Insulin Blood Level|Intraperitoneal glucose tolerance test (IPGTT)|Open Field|Organ Weight|Viability Primary Screen|X-ray	19	0	yes	one2one	HGNC:1040	BFSP1	0.0169672984430426	n	n	VP	VP	64	19	Testis	Brain_Spinal_cord_cervical_c.1
MGI:101774	viable	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Fertility of Homozygous Knock-out Mice|Viability Primary Screen	2	0	no	one2one	HGNC:1698	CD79A	0.0977717268171295	n	n	VnP_insufficient_procedures	NA	57	57	Small_Intestine_Terminal_Ileum_Lymphode_Aggregate	Small_Intestine_Terminal_Ileum_Lymphode_Aggregate
MGI:101784	viable	NA	MP:0005179|MP:0002833|MP:0003019	NA	NA	decreased circulating cholesterol level|increased heart weight|increased circulating chloride level	NA	NA	Nes<tm1b(KOMP)Wtsi>	NA	NA	C57BL/6NJ	NA	NA	Acoustic Startle and Pre-pulse Inhibition (PPI)|Auditory Brain Stem Response|Body Composition (DEXA lean/fat)|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Electrocardiogram (ECG)|Electroconvulsive Threshold Testing|Eye Morphology|Fertility of Homozygous Knock-out Mice|Grip Strength|Gross Pathology and Tissue Collection|Heart Weight|Hematology|Hole-board Exploration|Insulin Blood Level|Intraperitoneal glucose tolerance test (IPGTT)|Light-Dark Test|Open Field - centre start|Plasma Chemistry|Rotarod|Sleep Wake|Tail Suspension|Viability Primary Screen	23	0	yes	one2one	HGNC:7756	NES	-0.0718626565872956	n	n	VP	VP	46	35	Nerve_Tibial	Heart_Atrial_Appendage
MGI:101785	lethal	NA	MP:0011100|MP:0013293|MP:0013292	NA	NA	preweaning lethality, complete penetrance|embryonic lethality prior to tooth bud stage|embryonic lethality prior to organogenesis	NA	NA	Mybl2<tm1.1(KOMP)Vlcg>	NA	NA	C57BL/6NCrl	NA	NA	NA	NA	NA	NA	one2one	HGNC:7548	MYBL2	-0.478149093462563	n	n	DL	DL	23	23	Cells_EBV.transformed_lymphocytes	Cells_EBV.transformed_lymphocytes
MGI:101786	lethal	intermediate lethal	MP:0013294|MP:0003984|MP:0000783|MP:0000428|MP:0001697|MP:0011100|MP:0001293|MP:0001297	MP:0005560|MP:0005627|MP:0001325|MP:0005343	NA	prenatal lethality prior to heart atrial septation|embryonic growth retardation|abnormal forebrain morphology|abnormal craniofacial morphology|abnormal embryo size|preweaning lethality, complete penetrance|anophthalmia|microphthalmia	decreased circulating glucose level|increased circulating potassium level|abnormal retina morphology|increased circulating aspartate transaminase level	NA	Mtf1<tm1b(KOMP)Wtsi>	Mtf1<tm1b(KOMP)Wtsi>	NA	C57BL/6NJ	C57BL/6NJ	NA	NA	NA	NA	NA	one2one	HGNC:7428	MTF1	-0.210786870956564	n	n	DL	DL	64	68	Testis	Whole_Blood
MGI:101805	subviable	NA	MP:0011239|MP:0011100|MP:0001697|MP:0011110|MP:0001785	MP:0001258	NA	abnormal skin coloration|preweaning lethality, complete penetrance|abnormal embryo size|preweaning lethality, incomplete penetrance|edema	decreased body length	NA	Gys1<em1(IMPC)Bay>	Gys1<em1(IMPC)Bay>	NA	C57BL/6N	C57BL/6N	NA	NA	NA	NA	NA	one2one	HGNC:4706	GYS1	0.000272537407542179	n	n	SV	SV	45	45	Muscle_Skeletal	Muscle_Skeletal
