File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF410KMF	tsv	tsv		gene quantifications	mm10	ENCSR096STK	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002107	liver	tissue	Mus musculus											polyadenylated mRNA		Ambion mirVana			unstranded	2015-06-23	ENCODE		chemical (Nextera tagmentation)	>200	1	1_1							/files/ENCFF324FND/, /files/ENCFF363TFV/	11899821	ENCODE Processing Pipeline	ec52f5ab7d852160d18ce3986aaa3a46		https://www.encodeproject.org/files/ENCFF410KMF/@@download/ENCFF410KMF.tsv	M21			released	s3://encode-public/2021/03/15/c1cd802e-c7c5-48f0-a1fb-1a2e4cab9137/ENCFF410KMF.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/03/15/c1cd802e-c7c5-48f0-a1fb-1a2e4cab9137/ENCFF410KMF.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.1 mm10 M21	released			
ENCFF019ESS	bigWig	bigWig		signal of unique reads	mm10	ENCSR096STK	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002107	liver	tissue	Mus musculus											polyadenylated mRNA		Ambion mirVana			unstranded	2015-06-23	ENCODE		chemical (Nextera tagmentation)	>200	1	1_1							/files/mm10_no_alt.chrom.sizes/, /files/ENCFF172VMD/	107712229	ENCODE Processing Pipeline	a1b088fc665f0c09157b66beb1fb53dd		https://www.encodeproject.org/files/ENCFF019ESS/@@download/ENCFF019ESS.bigWig	M21			released	s3://encode-public/2021/03/15/934aadca-4e30-48c2-a3b5-a9cdf34cc33b/ENCFF019ESS.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/03/15/934aadca-4e30-48c2-a3b5-a9cdf34cc33b/ENCFF019ESS.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.1 mm10 M21	released			
ENCFF554PCI	tsv	tsv		gene quantifications	mm10	ENCSR727FHP	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000948	heart	tissue	Mus musculus											polyadenylated mRNA		Ambion mirVana			unstranded	2014-12-17	ENCODE		chemical (Nextera tagmentation)	>200	2	2_1							/files/ENCFF363TFV/, /files/ENCFF528CNL/	11882212	ENCODE Processing Pipeline	34fdd2f582000877a50efd99b888d323		https://www.encodeproject.org/files/ENCFF554PCI/@@download/ENCFF554PCI.tsv	M21			released	s3://encode-public/2021/03/15/a2c5e945-7935-4387-983e-7fb3b7f0ec7c/ENCFF554PCI.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/03/15/a2c5e945-7935-4387-983e-7fb3b7f0ec7c/ENCFF554PCI.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.1 mm10 M21	released			
ENCFF077HTC	bigWig	bigWig		signal of unique reads	mm10	ENCSR727FHP	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000948	heart	tissue	Mus musculus											polyadenylated mRNA		Ambion mirVana			unstranded	2014-12-17	ENCODE		chemical (Nextera tagmentation)	>200	2	2_1							/files/ENCFF216GFW/, /files/mm10_no_alt.chrom.sizes/	147181983	ENCODE Processing Pipeline	047a1297712fcb3ecb1af5da61f8ab19		https://www.encodeproject.org/files/ENCFF077HTC/@@download/ENCFF077HTC.bigWig	M21			released	s3://encode-public/2021/03/15/f093a5bb-824d-4cf8-a023-c6a57fa47aa1/ENCFF077HTC.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/03/15/f093a5bb-824d-4cf8-a023-c6a57fa47aa1/ENCFF077HTC.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.1 mm10 M21	released			
ENCFF583VFU	bigWig	bigWig		minus strand signal of unique reads	mm10	ENCSR000CHA	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002113	kidney	tissue	Mus musculus											polyadenylated mRNA					reverse	2011-08-04	ENCODE		see document	>200	1	1_1							/files/ENCFF487PQR/, /files/mm10_no_alt.chrom.sizes/	33341567	ENCODE Processing Pipeline	c8c49c5b807369375b3c548f29550f4c		https://www.encodeproject.org/files/ENCFF583VFU/@@download/ENCFF583VFU.bigWig	M21			released	s3://encode-public/2022/11/07/5bb0f624-fd1f-41af-b49d-dc14abeb5fb9/ENCFF583VFU.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/11/07/5bb0f624-fd1f-41af-b49d-dc14abeb5fb9/ENCFF583VFU.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released	low read depth	missing spikeins, insufficient read length	
ENCFF079ICT	bigWig	bigWig		plus strand signal of unique reads	mm10	ENCSR000CHA	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002113	kidney	tissue	Mus musculus											polyadenylated mRNA					reverse	2011-08-04	ENCODE		see document	>200	1	1_1							/files/ENCFF487PQR/, /files/mm10_no_alt.chrom.sizes/	34420501	ENCODE Processing Pipeline	13f5a9dd8dbd79d5cfde09497ca57361		https://www.encodeproject.org/files/ENCFF079ICT/@@download/ENCFF079ICT.bigWig	M21			released	s3://encode-public/2022/11/07/5d30ecb1-e8e6-40b3-a873-2d5defe8a695/ENCFF079ICT.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/11/07/5d30ecb1-e8e6-40b3-a873-2d5defe8a695/ENCFF079ICT.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released	low read depth	missing spikeins, insufficient read length	
ENCFF876OPZ	tsv	tsv		gene quantifications	mm10	ENCSR000CHA	polyA plus RNA-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002113	kidney	tissue	Mus musculus											polyadenylated mRNA					reverse	2011-08-04	ENCODE		see document	>200	1	1_1							/files/ENCFF363TFV/, /files/ENCFF365DEO/	13177397	ENCODE Processing Pipeline	2d0595308082956226909fe8220d4f14		https://www.encodeproject.org/files/ENCFF876OPZ/@@download/ENCFF876OPZ.tsv	M21			released	s3://encode-public/2022/11/07/d2037c1b-84d8-48c9-a12d-ee42ad33a594/ENCFF876OPZ.tsv	https://datasetencode.blob.core.windows.net/dataset/2022/11/07/d2037c1b-84d8-48c9-a12d-ee42ad33a594/ENCFF876OPZ.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released	low read depth	missing spikeins, insufficient read length	
ENCFF322QGD	tsv	tsv		gene quantifications	mm10	ENCSR870AQU	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0002048	lung	tissue	Mus musculus											polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	2014-12-08	ENCODE		chemical (Illumina TruSeq)	350-450	1	1_2							/files/ENCFF368TCM/, /files/ENCFF363TFV/	11794412	ENCODE Processing Pipeline	162a37209190b2ade71f44adc0972941		https://www.encodeproject.org/files/ENCFF322QGD/@@download/ENCFF322QGD.tsv	M21			released	s3://encode-public/2021/04/08/69a70dcd-9727-4695-a9e3-a0413ece5a80/ENCFF322QGD.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/04/08/69a70dcd-9727-4695-a9e3-a0413ece5a80/ENCFF322QGD.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released	low read depth, low replicate concordance	insufficient read depth	
ENCFF650JTG	bigWig	bigWig		minus strand signal of unique reads	mm10	ENCSR870AQU	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0002048	lung	tissue	Mus musculus											polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	2014-12-08	ENCODE		chemical (Illumina TruSeq)	350-450	1	1_2							/files/ENCFF151XGX/, /files/mm10_no_alt.chrom.sizes/	53668261	ENCODE Processing Pipeline	4f93d84e51db88431a228c08200472c6		https://www.encodeproject.org/files/ENCFF650JTG/@@download/ENCFF650JTG.bigWig	M21			released	s3://encode-public/2021/04/08/bac41a13-5611-436c-a901-7fc4efa21757/ENCFF650JTG.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/04/08/bac41a13-5611-436c-a901-7fc4efa21757/ENCFF650JTG.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released	low read depth, low replicate concordance	insufficient read depth	
ENCFF877PYA	bigWig	bigWig		plus strand signal of unique reads	mm10	ENCSR870AQU	polyA plus RNA-seq	/mouse-donors/ENCDO072AAA/	UBERON:0002048	lung	tissue	Mus musculus											polyadenylated mRNA		RNeasy Lipid Tissue Mini Kit (QIAGEN cat#74804)			reverse	2014-12-08	ENCODE		chemical (Illumina TruSeq)	350-450	1	1_2							/files/ENCFF151XGX/, /files/mm10_no_alt.chrom.sizes/	54870940	ENCODE Processing Pipeline	3428011ee283f2d9f2664f6a01520d29		https://www.encodeproject.org/files/ENCFF877PYA/@@download/ENCFF877PYA.bigWig	M21			released	s3://encode-public/2021/04/08/7dba3a93-ab47-4d0f-9158-76dc41bca657/ENCFF877PYA.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/04/08/7dba3a93-ab47-4d0f-9158-76dc41bca657/ENCFF877PYA.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released	low read depth, low replicate concordance	insufficient read depth	
